"filename", "language", "CSS", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\forms\table-no-data.tsx", "TypeScript JSX", 0, 26, 0, 1, 3, 30
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\forms\user-table-head.tsx", "TypeScript JSX", 0, 45, 0, 1, 5, 51
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\forms\user-table-row.tsx", "TypeScript JSX", 0, 53, 0, 4, 12, 69
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\forms\user-table-toolbar.tsx", "TypeScript JSX", 0, 30, 0, 1, 3, 34
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\forms\utils.ts", "TypeScript", 0, 0, 49, 0, 8, 57
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\home\app-revenue-month.tsx", "TypeScript JSX", 0, 51, 0, 1, 5, 57
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\home\app-widget-summary.tsx", "TypeScript JSX", 0, 28, 0, 1, 6, 35
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\home\homeview.tsx", "TypeScript JSX", 0, 79, 0, 21, 4, 104
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\profile\profileview.tsx", "TypeScript JSX", 0, 287, 0, 0, 19, 306
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\rooms\detail-room.tsx", "TypeScript JSX", 0, 247, 0, 1, 13, 261
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\rooms\new-room.tsx", "TypeScript JSX", 0, 236, 0, 0, 21, 257
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\rooms\room-card.tsx", "TypeScript JSX", 0, 103, 0, 3, 17, 123
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\rooms\roomsview.tsx", "TypeScript JSX", 0, 81, 0, 1, 9, 91
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\signin\signinview.tsx", "TypeScript JSX", 0, 138, 0, 2, 19, 159
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\sections\signup\signupview.tsx", "TypeScript JSX", 0, 195, 0, 14, 23, 232
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\setupTests.ts", "TypeScript", 0, 0, 1, 4, 1, 6
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\theme\css.tsx", "TypeScript JSX", 0, 130, 0, 6, 17, 153
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\theme\custom-shadows.ts", "TypeScript", 0, 0, 23, 3, 5, 31
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\theme\index.tsx", "TypeScript JSX", 0, 28, 0, 1, 6, 35
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\theme\overrides.tsx", "TypeScript JSX", 0, 143, 0, 1, 3, 147
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\theme\palette.ts", "TypeScript", 0, 0, 106, 3, 15, 124
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\theme\shadows.ts", "TypeScript", 0, 0, 34, 1, 5, 40
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\theme\typography.ts", "TypeScript", 0, 0, 99, 2, 7, 108
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\utils\index.ts", "TypeScript", 0, 0, 17, 0, 5, 22
"Total", "-", 46, 3090, 657, 128, 453, 4374
